Depth regime,Equation,Horizon (days),Regressor,N,Date clusters,Beta,SE (cluster-by-date),p (cluster-by-date),SE (Driscoll-Kraay),p (Driscoll-Kraay),SE (month block bootstrap),Predicted sign (P1),Sign check
low,outcome=S,30,S,4590,1766,-0.6645448166685608,0.021957880214535444,1.9947004478437997e-162,0.044336976668184445,6.77662659625386e-48,0.043675298529394994,(no prior),n/a (no P1 prior)
low,outcome=L,1,S,4701,1795,0.021984838770503133,0.01303696258138102,0.09190291519457824,0.013325186091065248,0.0991443701910606,0.015312501831794455,+,sign matches but not sig. (DK p=0.099)
low,outcome=L,1,D,4701,1795,-0.0031166564812837765,0.00448959446687423,0.48764946703159406,0.0042372274932313036,0.46210595082652933,0.004617429406875296,(no prior),n/a (no P1 prior)
low,outcome=L,1,L,4701,1795,-0.0009396526452033685,0.0018153014848467206,0.6047809819380641,0.0019970027775040302,0.6380325579002285,0.003404394544362556,(no prior),n/a (no P1 prior)
low,outcome=L,7,S,4677,1789,0.0098360384420548,0.018920035158357315,0.6032156022958065,0.028649708333779143,0.7313975583219982,0.026834650354365556,+,sign matches but not sig. (DK p=0.731)
low,outcome=L,7,D,4677,1789,-0.012325482225185981,0.008993410129002137,0.17070243115878883,0.011475519135117523,0.28293735195054137,0.011500627225474092,(no prior),n/a (no P1 prior)
low,outcome=L,7,L,4677,1789,-0.00027158553379847056,0.003093624255426269,0.9300543773371045,0.0051148428169671585,0.9576601288239387,0.00800448547921244,(no prior),n/a (no P1 prior)
low,outcome=L,14,S,4649,1782,-0.05029945437090718,0.02340256855329217,0.03174393743131778,0.0344918751652077,0.14493456382312617,0.03817501565550288,+,"WRONG SIGN (predicted +, got -)"
low,outcome=L,14,D,4649,1782,0.003048613711725881,0.00990563116150021,0.7582965937618954,0.016017357141114602,0.8490707641454861,0.017057869378751082,(no prior),n/a (no P1 prior)
low,outcome=L,14,L,4649,1782,0.010289788195451852,0.0037572805840725126,0.006231094898801835,0.006051696880655589,0.08924636626579775,0.010317600768576162,(no prior),n/a (no P1 prior)
low,outcome=L,30,S,4590,1766,-0.04820376869273799,0.023972383245020646,0.044497969657137385,0.04881989526823129,0.3235919149292809,0.050229088100143385,+,"WRONG SIGN (predicted +, got -)"
low,outcome=L,30,D,4590,1766,0.018587062324777043,0.013727095473292062,0.17589635091188682,0.0301646289148203,0.5378503438886274,0.029668734791309114,(no prior),n/a (no P1 prior)
low,outcome=L,30,L,4590,1766,0.02541808000020683,0.0037927582346168423,2.7618042619623114e-11,0.00889205742607073,0.004306248826838602,0.018119204972976973,(no prior),n/a (no P1 prior)
low,outcome=D,1,L,4701,1795,-0.04488612950064651,0.004107199992173266,5.82800466295074e-27,0.005741749236376889,9.11371593347588e-15,0.01382244534006491,-,"MATCH (p<.05, DK)"
low,outcome=D,1,S,4701,1795,0.05868717388483905,0.02140848623810709,0.006180306910056106,0.022073640693822547,0.007914023574643308,0.033257572207447565,(no prior),n/a (no P1 prior)
low,outcome=D,1,D,4701,1795,-0.5212514849129807,0.025301115331228047,8.076008448227247e-85,0.034813911562481994,7.598453419420191e-48,0.05140041595016311,(no prior),n/a (no P1 prior)
low,outcome=D,7,L,4677,1789,-0.054082244120874715,0.004238865664088853,9.594818947885331e-36,0.006792961551479339,2.993545435117471e-15,0.015115178508964888,-,"MATCH (p<.05, DK)"
low,outcome=D,7,S,4677,1789,0.054467484314397484,0.022774344597625666,0.01687718197517323,0.03144085667946937,0.08337852409622247,0.04398675761878903,(no prior),n/a (no P1 prior)
low,outcome=D,7,D,4677,1789,-0.6360277760784344,0.02426149064119776,1.8785325228932673e-128,0.033280625632621,3.112283680832798e-74,0.04786801968912669,(no prior),n/a (no P1 prior)
low,outcome=D,14,L,4649,1782,-0.061666922418989224,0.00425295830499537,4.0616514348313617e-45,0.007827250850870635,5.717927144244367e-15,0.01651333967521686,-,"MATCH (p<.05, DK)"
low,outcome=D,14,S,4649,1782,0.06396192093942546,0.0250297196592297,0.010687835712490492,0.04157032247304661,0.12406890296397335,0.04698379829354989,(no prior),n/a (no P1 prior)
low,outcome=D,14,D,4649,1782,-0.7078269442461121,0.0241123518871328,7.879183840148967e-155,0.03824539562352834,4.3911674658344e-70,0.04098848858314845,(no prior),n/a (no P1 prior)
low,outcome=D,30,L,4590,1766,-0.07313341719522153,0.004215609749570986,2.2502312471795183e-62,0.01030468444218739,1.838136844417526e-12,0.019269695807152844,-,"MATCH (p<.05, DK)"
low,outcome=D,30,S,4590,1766,0.10137541923785978,0.02350189297616611,1.6957855214162963e-05,0.052749805978392884,0.05478976123396375,0.05482839873556406,(no prior),n/a (no P1 prior)
low,outcome=D,30,D,4590,1766,-0.7577778287238666,0.022121542508100233,1.3163226973199927e-197,0.04438183176529502,1.2972565245207994e-60,0.046356617549940575,(no prior),n/a (no P1 prior)
