Equation,Horizon (days),N (LINK own-series),Beta (LINK),"SE (Newey-West, LINK)","p (Newey-West, LINK)",Beta (5-candidate pooled headline),"p (Driscoll-Kraay, headline)",Same sign as headline?
S_on_L,1,1882,0.00034380086388430725,0.0003911369849952958,0.3795292176989835,0.02227714332596027,1.6387935557605878e-45,yes
S_on_L,7,1876,5.292246088649632e-05,0.0004715651473530624,0.9106556449582809,0.026109412320146987,1.8243630612374868e-29,yes
S_on_L,14,1869,-0.0008343460372612532,0.0006264905284071653,0.18310133988304725,0.026974953457735987,1.6835657983237794e-19,no
S_on_L,30,1853,7.018761593301523e-05,0.0005476552279423955,0.8980365666745045,0.026950837556487285,8.19112295789056e-14,yes
L_on_S,1,1882,-0.6535653828903034,0.45565237046384877,0.15164404233086218,0.018858817005486292,0.046279534703200516,no
L_on_S,7,1876,-2.4479772813068026,1.1677088078127493,0.03618557458252385,0.03767081597055792,0.010178963787583605,no
L_on_S,14,1869,-1.4346751841982845,1.5771202293099147,0.3631125273957408,0.04825433293300691,0.050502717448499795,no
L_on_S,30,1853,0.16123414664190872,1.2871425664593212,0.900327674992224,0.08424274417574565,0.01432614942106114,yes
