Period,Equation,Horizon (days),Regressor,N,Date clusters,Beta,SE (cluster-by-date),p (cluster-by-date),SE (Driscoll-Kraay),p (Driscoll-Kraay),SE (month block bootstrap),Predicted sign (P1),Sign check
post,outcome=L,30,L,4560,912,-0.14197736926534085,0.013084351174349649,6.982927069530304e-26,0.03726470226925404,0.00014831021494015988,0.03827449460188648,(no prior),n/a (no P1 prior)
post,outcome=D,1,L,4705,941,-0.061759183944541704,0.016560544739288967,0.00020350512331667966,0.019413395117062315,0.0015143971498932272,0.038598524707175855,-,"MATCH (p<.05, DK)"
post,outcome=D,1,S,4705,941,-0.046314627145623385,0.03035908848819227,0.12745571892566213,0.02748005402532753,0.09224511710414444,0.029761775838385848,(no prior),n/a (no P1 prior)
post,outcome=D,1,D,4705,941,-0.43593197596670197,0.020229098849635474,5.072907741535305e-84,0.024308111642095686,4.419245083616576e-62,0.03717826584800555,(no prior),n/a (no P1 prior)
post,outcome=D,7,L,4675,935,-0.07167693865106443,0.01779827633070108,6.102990079765485e-05,0.02915600342467475,0.014136569867462494,0.039969057629356534,-,"MATCH (p<.05, DK)"
post,outcome=D,7,S,4675,935,-0.07025803105994635,0.03315691261573754,0.034357601620195126,0.039473124173481235,0.0754181415029454,0.04936321472785049,(no prior),n/a (no P1 prior)
post,outcome=D,7,D,4675,935,-0.5083823609584331,0.02064797310909603,1.4791915727409324e-103,0.028827313440921785,2.648174535984726e-60,0.038221051010516004,(no prior),n/a (no P1 prior)
post,outcome=D,14,L,4640,928,-0.10260843469942521,0.018059676505730822,1.7858052671201868e-08,0.03852864952024373,0.0078749902367982,0.05228417021404252,-,"MATCH (p<.05, DK)"
post,outcome=D,14,S,4640,928,-0.0074940004583912735,0.03097044450267437,0.8088548758295249,0.05108884249553161,0.8834120331640628,0.06263633201320813,(no prior),n/a (no P1 prior)
post,outcome=D,14,D,4640,928,-0.5894565423354733,0.019941979950654453,8.282367303450018e-136,0.03303237105602904,1.8742778703600187e-61,0.03947862679819777,(no prior),n/a (no P1 prior)
post,outcome=D,30,L,4560,912,-0.13761449839724907,0.017023651019305815,1.9899740159106105e-15,0.041840140410849755,0.0010437750856798218,0.03798947976447366,-,"MATCH (p<.05, DK)"
post,outcome=D,30,S,4560,912,-0.038685563813111536,0.03596307834168632,0.28234524545540685,0.07064637200476412,0.584104506062394,0.060885835958434685,(no prior),n/a (no P1 prior)
post,outcome=D,30,D,4560,912,-0.6606370356587704,0.01927319444477117,4.616137909501411e-166,0.033504163225061126,2.358374045453921e-72,0.03551829282411062,(no prior),n/a (no P1 prior)
