Window,Balanced pairs,Pair-candidate cells,Candidate-level rows,Pair-day rows,First date,Last date
+/-12 months,396,"1,305","65,022","32,557",2020-05-19,2022-05-05
+/-24 months,507,"1,675","97,484","48,319",2020-05-19,2023-05-05
