date,legs,routes,single_leg_routes,multi_leg_routes,round_trip_routes,economic_multileg_routes,cross_venue_routes,cross_venue_share,cross_venue_usd_share,cross_venue_share_unfiltered,cross_venue_usd_share_unfiltered,round_trip_share_of_multileg,round_trip_usd_share_of_multileg,economic_multileg_usd,cross_venue_usd,total_usd,venues_active
2020-06-04,9219,8347,7584,763,24,739,3,0.0040595399188092015,0.06773597560095222,0.010484927916120577,0.14449911364216525,0.03145478374836173,0.09725693389942966,158099.13966025476,10708.999466558555,4231238.391148391,2
2020-06-05,8911,7990,7195,795,49,746,2,0.002680965147453083,0.014312086402462633,0.007547169811320755,0.08226073190567437,0.061635220125786164,0.13234960253035333,123106.91980568487,1761.9168730000001,2708013.130933007,2
2020-06-06,10058,9043,8189,854,79,775,0,0.0,0.0,0.00351288056206089,0.028239955724751336,0.09250585480093677,0.10540810940687305,219738.92859605438,0.0,3792936.751599999,2
2020-06-07,11290,10169,9203,966,84,882,4,0.0045351473922902496,0.028439513465682548,0.011387163561076604,0.08893438708496389,0.08695652173913043,0.1619018655460957,284518.35184505186,8091.563498531157,4234875.444375858,2
2020-06-08,12457,11503,10673,830,51,779,5,0.006418485237483954,0.010483025174791275,0.008433734939759036,0.024396852384841725,0.06144578313253012,0.08107097383298802,215921.5095809201,2263.510620715721,5194095.707929334,2
2020-06-09,12200,11037,10058,979,51,928,2,0.0021551724137931034,0.01304131398393603,0.006128702757916241,0.04978142706920007,0.05209397344228805,0.08016691698354421,407617.99968883104,5315.874319445985,6042661.716783748,2
2020-06-10,11614,10399,9323,1076,49,1027,10,0.009737098344693282,0.09553227095424785,0.012081784386617101,0.1118895495892532,0.04553903345724907,0.040091532019826424,388696.9920035374,37133.106359183046,5576466.25996777,2
2020-06-11,11287,10020,8972,1048,57,991,4,0.004036326942482341,0.03308775463478776,0.01049618320610687,0.01698916648690902,0.05438931297709924,0.7866259403396432,332030.3710664465,10986.139449144113,9574443.736685041,2
2020-06-12,11948,10773,9736,1037,54,983,9,0.009155645981688708,0.05266514028998466,0.01639344262295082,0.08469062157933922,0.052073288331726135,0.08418752106313306,374048.3759587257,19699.310195107213,5235451.506602712,2
2020-06-13,10797,9752,8869,883,64,819,7,0.008547008547008548,0.06867423293157818,0.01245753114382786,0.0914950776730112,0.072480181200453,0.05602105026766846,309958.24002196256,21286.144374330273,4576114.995797221,2
2020-06-14,9727,8712,7802,910,55,855,7,0.008187134502923977,0.04287728482071681,0.017582417582417582,0.09411269943467293,0.06043956043956044,0.07526845871999718,276224.6375263104,11843.76245771487,4537902.021858173,2
2020-06-15,11713,10116,8828,1288,106,1182,18,0.015228426395939087,0.0841023954594256,0.033385093167701864,0.058025825891114366,0.08229813664596274,0.7033342982832972,513962.85347539105,43225.50715444216,12291797.886722472,2
2020-06-16,14865,13176,11717,1459,109,1350,7,0.005185185185185185,0.037314248470903096,0.019191226867717615,0.10049610952333488,0.07470870459218643,0.11863683800369514,573870.7711306326,21413.55654415719,11256751.56114804,2
2020-06-17,13291,11359,9739,1620,133,1487,6,0.004034969737726967,0.027647171551257493,0.019753086419753086,0.0021999515312933933,0.08209876543209876,0.9878813407683584,598792.4880158938,16554.918639779713,59558209.139828734,2
2020-06-18,16374,14040,12127,1913,143,1770,16,0.00903954802259887,0.023587564309287157,0.015682174594877155,0.0026526988874403887,0.07475169890224778,0.9602941204675329,957536.7002909542,22585.958496615505,36255013.26258013,2
2020-06-19,18837,16266,14095,2171,187,1984,18,0.009072580645161291,0.020932773753406006,0.027637033625057577,0.005187481301051114,0.08613542146476279,0.9467918541144252,1294332.1886287478,27093.962866316404,42672805.038768314,2
2020-06-20,18419,15559,13153,2406,174,2232,23,0.010304659498207885,0.03722856003995572,0.021612635078969242,0.07497479278894459,0.07231920199501247,0.07150723406106346,998105.8906615017,37158.0450767252,13850712.899022376,2
2020-06-21,25450,21015,17346,3669,390,3279,31,0.009454101860323269,0.04146221776993093,0.019078768056691196,0.09687476649738212,0.10629599345870809,0.1182081843812964,1916074.356778564,79444.69224413314,19408786.26545686,2
2020-06-22,25702,21346,17591,3755,319,3436,36,0.010477299185098952,0.03380393946471571,0.02103861517976032,0.079716253185861,0.08495339547270306,0.0880458336042382,2467836.362335763,83422.59100122235,19202950.935196966,2
2020-06-23,22942,19034,15664,3370,317,3053,16,0.0052407468064199145,0.013175178573699885,0.011869436201780416,0.040275891944016026,0.09406528189910979,0.07985078432796042,2351160.081224275,30976.953925484548,18710544.3561201,2
2020-06-24,26019,22020,18611,3409,304,3105,33,0.010628019323671498,0.03793455380733632,0.014667057788207686,0.04909846338562992,0.08917571135230273,0.07157990933087993,2391277.6230488727,90712.04965982676,20920491.676701866,2
2020-06-25,23197,19379,16086,3293,317,2976,29,0.009744623655913979,0.030166725992483462,0.01730944427573641,0.058708330377911344,0.09626480412997267,0.0712576682431238,2775269.3589999457,83720.79030828658,22710931.19800379,2
2020-06-26,25977,21706,18117,3589,462,3127,22,0.007035497281739686,0.02120655083834471,0.01058790749512399,0.039778649029267935,0.12872666480913902,0.10045832614399423,2304759.529774493,48876.00013832224,20440510.460947663,2
2020-06-27,24895,20951,17620,3331,353,2978,21,0.007051712558764272,0.025035044246176304,0.00990693485439808,0.03622147080218971,0.10597418192734914,0.08776229345589251,2036450.2676566676,50982.62255592225,20351398.162627093,2
2020-06-28,25475,21258,17643,3615,382,3233,16,0.0049489638107021346,0.026157138973038927,0.008575380359612726,0.03853017428653082,0.10567081604426003,0.1110166073657409,1723506.2695260746,45081.99301289742,12934539.058501508,2
2020-06-29,25425,21523,18140,3383,287,3096,24,0.007751937984496124,0.02548144881345067,0.015370972509606859,0.053671203770431684,0.08483594442802246,0.11165628809595675,2864277.4131500376,72985.93829070558,15733092.772969738,2
2020-06-30,21403,18160,15390,2770,195,2575,26,0.010097087378640776,0.03649296768051762,0.01660649819494585,0.06709770241176462,0.0703971119133574,0.06740965067949549,1965179.1235088077,71715.21824063487,13240267.465024235,2
2020-07-01,26054,21999,18547,3452,217,3235,20,0.0061823802163833074,0.019002258690814396,0.008111239860950173,0.020683590024990012,0.06286210892236385,0.1601008412377074,2338536.460260523,44437.47477577186,18305510.057302605,2
2020-07-02,28977,23921,19725,4196,377,3819,9,0.002356637863315004,0.008794251727658043,0.003336510962821735,0.010989972734372331,0.08984747378455672,0.13979097507166874,2784696.4571266426,24489.32162908921,21263211.41610077,2
2020-07-03,34586,30029,26134,3895,326,3569,49,0.013729335948444943,0.05408418462757272,0.020282413350449294,0.07955700009628557,0.08369704749679076,0.11316277148765734,2558630.244671102,138381.43054648346,21813388.386979997,2
2020-07-04,34320,29960,26305,3655,266,3389,14,0.004131012097964001,0.02191530117212463,0.005745554035567715,0.030434212572113966,0.07277701778385773,0.08423275141144218,1567344.0613676503,34348.81714521304,16254855.272603605,2
2020-07-05,33489,29258,25714,3544,324,3220,5,0.0015527950310559005,0.009583322131249296,0.0031038374717832955,0.025000343637381437,0.09142212189616253,0.08694108094496499,1601946.2470705425,15351.966922622883,15284313.794750346,2
2020-07-06,31956,27761,24229,3532,348,3184,12,0.0037688442211055275,0.026741884405445844,0.005379388448471121,0.0409072592856978,0.0985277463193658,0.07134958687419297,1946593.606503382,52055.58120949338,17866451.615840394,2
2020-07-07,31968,27734,24164,3570,314,3256,10,0.003071253071253071,0.015572473889488634,0.004761904761904762,0.022294589317969966,0.08795518207282914,0.11451833567480173,1785156.8340310906,27799.308186591352,15804229.435236303,2
2020-07-08,34045,29624,25897,3727,357,3370,10,0.002967359050445104,0.01858340325538069,0.004024684733029246,0.021294214126339178,0.09578749664609605,0.061063051261046004,2351501.221571446,43698.89545598248,24391555.224018745,2
2020-07-09,32759,28350,24622,3728,354,3374,7,0.002074688796680498,0.013889819322092692,0.003218884120171674,0.01828685130409836,0.09495708154506438,0.09423146289873838,2099072.9574543163,29155.744122931213,23803791.320662167,2
2020-07-10,31975,27503,23814,3689,393,3296,9,0.0027305825242718447,0.01370567160855094,0.00433721875847113,0.024535283928181214,0.10653293575494714,0.08750427745724522,1941122.952247461,26604.393735324607,20091200.312622875,2
2020-07-11,27797,24072,20894,3178,307,2871,6,0.0020898641588296763,0.006489546897795182,0.005034612964128383,0.018170123042492447,0.09660163624921334,0.0836653293423799,2030215.846300149,13175.180947211751,21278579.47660494,2
2020-07-12,31693,27069,23145,3924,412,3512,24,0.00683371298405467,0.03200670702107342,0.006625891946992864,0.030656757652397552,0.10499490316004077,0.08675971441056814,2866466.2903800867,91746.14674197862,27384962.807831775,2
2020-07-13,39296,33965,29575,4390,423,3967,10,0.0025207965717166624,0.009602545124075755,0.0056947608200455585,0.046191230250325226,0.09635535307517085,0.08506428513621374,4400243.360761467,42253.53542862675,44944350.96279192,2
