year,cells,pct_dominated,median_indirect_share_in_dominated,persistent_cells
2020,1546,39.909443725743856,0.23436682861405894,157
2021,4575,34.81967213114754,0.28511933978957954,437
2022,5464,33.180819912152266,0.2888795239745339,463
2023,5001,42.57148570285943,0.23033051755682796,464
