date,mid_type,routes,pct_dominated,median_gap_bps
2020-01-01,imported,30,33.33333333333333,-328.4407579681514
2020-01-01,native,2309,10.870506712862712,-2370.5090012752044
2020-01-01,other,8792,19.301637852593267,-266.6236954970144
2020-01-01,stable,3137,31.877590054191902,-86.21328154573041
2021-01-01,imported,1376,22.165697674418606,-166.22326505125284
2021-01-01,native,7723,13.00012948336139,-2884.714793308616
2021-01-01,other,16223,26.302163594896133,-172.8162683805973
2021-01-01,stable,14021,18.137080094144498,-269.4078423672954
2022-01-01,imported,391,26.598465473145783,-53.103375662845906
2022-01-01,native,4201,14.734587003094502,-2315.472019421345
2022-01-01,other,8724,13.778083447959652,-154.33490889010972
2022-01-01,stable,7080,15.564971751412429,-914.4097742994007
2023-01-01,imported,170,22.941176470588236,-73.27748185546757
2023-01-01,native,2611,16.0857908847185,-1476.971956484349
2023-01-01,other,3360,17.113095238095237,-246.19114386914566
2023-01-01,stable,3649,18.114551932036175,-552.479148053276
2024-01-01,imported,68,39.705882352941174,-31.149155021608895
2024-01-01,native,1757,13.545816733067728,-1860.1327454566763
2024-01-01,other,4874,14.95691423881822,-207.4940914682604
2024-01-01,stable,3705,11.36302294197031,-1454.9460024260406
2025-01-01,imported,27,66.66666666666666,1464993.780518937
2025-01-01,native,689,8.99854862119013,-5420.980772225632
2025-01-01,other,5524,12.056480811006518,-42.76392060659364
2025-01-01,stable,1710,6.1988304093567255,-6045.06826070402
2026-01-01,imported,1,100.0,90013.73348730689
2026-01-01,native,118,17.796610169491526,-6834.950344363141
2026-01-01,other,1553,31.93818415969092,-8.636224836937844
2026-01-01,stable,34,17.647058823529413,-864.8775233047718
