spec,n,clusters,coef,se,t,p
(1) pooled,102845,3654,-0.04857550275535388,0.01817394925376247,-2.6728094195210494,0.0075218970097657226
(2) + log notional,102845,3654,-0.05066048882323915,0.019193281287969877,-2.6394907709184956,0.008303068396721526
(3) + year effects,102845,3654,-0.04938081130759803,0.0187362442977909,-2.6355768276046807,0.008399440892092188
(4) pair-by-day FE,3865,158,0.09366692408609134,0.08466475697311666,1.1063272066774266,0.26858492000867723
"(5) pair-by-day FE, gap_bps outcome",3865,158,186.3754540022553,105.74017969414986,1.7625793198133428,0.07797146751484799
